ID	SEX	MATURES	CHILDS	PHYSS	SELFDET	EXTSCORE	DATEDUR	SERIOUS	ALCFREQ	BP
101	1	5	4.2	1.5	4.33333	-7	4	4	4	2.96552
102	1	2	1.6	1.16667	2.53333	-20	1	3	2	1.7931
103	1	4	2.2	1.16667	5.8	-10	3	4	3	2.27586
104	1	3	2.6	1.16667	5.06667	-3	5	4	1	2.34483
105	1	3.5	1.8	1.16667	5.2	-28	3	4	3	2.41379
106	1	3	2.2	1	4.33333	-6	3	3	2	2.82759
107	1	4	1.6	1	1.46667	-34	3	4	2	1.31034
108	2	3	4.6	1.83333	2.86667	-6	4	4	4	3.13793
109	1	3.5	2	1	2.2	-40	5	3	1	2.48276
110	2	4	1.8	1.16667	4.86667	-43	5	5	2	2.75862
111	1	5	2	1.16667	4.66667	-38	5	4	3	1.89655
112	2	5	2.2	1.33333	2.93333	-19	4	3	2	2.03448
113	2	4	1.8	1	2.13333	-13	3	3	4	1.58621
114	1	2	1.4	1	2.8	-15	1	3	3	1.58621
115	2	3.5	1.8	1	3.4	-22	1	3	2	2.75862
116	1	3.5	2.6	1	6.93333	-20	3	4	3	2.2069
117	1	2	1.4	1	3.86667	-33	3	4	1	1.37931
118	1	3	2	1	5.46667	-9	5	4	3	2.2069
119	2	4	2	1.33333	1.6	6	5	4	4	3.71429
120	1	1.5	2	1	6.6	-17	4	4	3	1.55172
121	2	2	2	1.66667	0.66667	-6	1	1	1	2.72414
122	1	1.5	3.4	1.16667	1.2	.	2	3	3	1.82759
123	1	4.5	1.4	1	4.13333	-40	3	4	2	2.10345
124	1	5	1.8	1	4.13333	-41	1	2	4	1.86207
125	2	3.5	3.4	1.33333	-0.73333	-6	2	3	3	3.48276
126	1	3	1.4	1	5	-20	2	3	2	1.58621
127	1	3	1.4	1	5.53333	-16	3	4	3	1.51724
128	1	2.5	1.6	1	3.46667	-3	4	3	2	1.93103
129	1	3.5	2.8	1	5.33333	-29	5	4	1	1.55172
130	2	1.5	2.2	1.16667	1.93333	-7	1	3	1	2.10345
131	1	3	2.6	1	0.6	-7	3	3	3	2.31034
132	2	3	1.4	1	2.93333	-19	1	2	3	2.31034
133	1	2.5	2	1	0.26667	-16	1	2	3	2.82759
134	1	2.5	4	1	0.8	-36	5	4	2	2.72414
135	1	5	5	4.33333	5.2	1	5	4	2	2.06897
136	1	2	4	3	2.73333	-9	5	5	2	3.37931
137	2	2.5	1.8	1.5	6.13333	-8	4	5	3	2.68966
138	1	3	1.6	1	1.6	-33	5	5	2	1.96552
139	1	2.5	2.4	1	3.33333	-32	5	4	2	1.55172
140	1	3.5	1.8	1	3.73333	-24	3	3	2	1.55172
141	1	2.5	1.2	1	7.66667	-9	2	4	3	2.31034
142	1	3	1.2	1	6.06667	-38	1	3	2	1.89655
143	1	2	1.6	1	5.73333	-20	5	5	2	1.75862
144	1	3	1.8	1	4.53333	-25	5	4	3	1.55172
145	2	3	1.8	1	0.46667	5	1	1	2	1.75862
146	1	2	1.8	1.16667	2.86667	-55	3	4	3	1.41379
147	2	3.5	1.8	1.16667	-0.4	-3	1	2	3	2.75862
148	1	2.5	2	1	2.8	-24	4	4	3	1.31034
149	2	3	2.4	1	5.6	-17	4	4	1	1.82759
150	1	.	.	.	.	.	5	4	2	.
151	1	2	1.8	1	3.66667	-3	2	4	3	2.96552
152	1	4	2.2	1	1.86667	-24	5	4	1	2.27586
153	1	4.5	4.8	1.66667	4.93333	-21	1	2	3	2.86207
154	2	3.5	1.6	1	6.6	-19	3	4	2	3.75862
155	1	3.5	2.6	1	-0.6	-17	4	4	3	2
156	2	4.5	1.2	1	5.53333	-15	3	4	3	2.2069
157	2	3.5	1.4	1	3.2	-6	2	3	3	2.34483
158	2	3	1.8	1	3.73333	-25	4	3	3	3
159	2	2	1.2	1	2.53333	-13	3	4	3	1.86207
160	1	3.5	1.6	1	5	-27	3	3	3	1.75862
161	1	2.5	3.6	1	-2.73333	-32	5	4	2	1.62069
162	1	3.5	2.2	1	6	-26	3	4	3	2.41379
163	1	2	1.8	1	1.4	1	4	3	3	2.24138
164	1	4	1.4	1	4.66667	-37	3	4	1	1.27586
165	1	2	2.2	1.16667	5.93333	-30	5	4	3	2.7931
166	1	2.5	3.4	1	5	-27	1	1	3	2.31034
167	1	2.5	1.4	1	5.26667	-45	1	2	3	2.13793
168	1	2.5	2.4	1	6	-34	.	.	2	2.10345
169	1	2.5	1.4	1	4.73333	-25	2	4	3	1.55172
170	1	3	2.2	1	3.46667	-25	3	4	3	2.51724
171	1	2.5	1.6	1	5.6	-26	3	4	3	3.10345
172	2	3	1.6	1	2.73333	-8	3	4	2	2.93103
173	1	2	2.4	1.16667	3.26667	-10	4	3	4	1.68966
174	2	4.5	1.2	1	2.66667	-42	4	3	2	1.75862
175	2	5	2	1.16667	0.06667	-22	4	3	3	2.68966
176	1	2	2.2	1	5.66667	-22	5	4	3	1.96552
177	1	2.5	2.2	1.16667	-1.46667	-21	2	2	4	2.58621
178	1	4	2.2	1	2.53333	-33	1	4	3	2.27586
179	1	4	1.2	1	7	-33	3	3	1	1.44828
180	1	5	2.6	1.16667	4.93333	-34	3	4	3	1.82759
181	1	2.5	2.6	1.66667	6.8	-41	3	4	3	2.72414
183	2	4.5	2.2	1.16667	2.53333	-30	5	4	3	2.03448
184	1	.	3	2	3.53333	-16	4	4	1	2.37931
185	1	3.5	2	1	4.46667	-34	1	1	3	1.51724
186	1	4.5	2.4	1	5.93333	-34	4	4	1	2.34483
187	2	4	2.25	4.66667	-0.4	-6	1	1	4	2.96552
188	1	4.5	2.8	1.33333	3.8	-19	3	3	3	2.31034
189	1	2.5	2	1.33333	6.46667	-31	4	4	2	1.89655
190	1	2	2	1	5.66667	-30	5	4	2	2.17241
191	2	3.5	1.8	1	4	-37	4	4	1	1.75862
192	1	2	3	1	3	-22	5	4	1	1.72414
193	1	1.5	1.2	1	3.86667	-31	3	3	2	1.34483
194	1	2	1.8	1	3.8	-10	2	3	3	1.68966
195	2	3.5	1.6	1	3.26667	6	1	2	3	2.55172
196	2	4.5	2.4	2.33333	3.46667	2	1	1	3	3.75862
197	1	3.5	2.2	1	2.26667	-32	5	4	2	1.58621
