"","PHYSS","DATEDUR","SERIOUS","SELFDET","EXTSCORE","BP"
"146",1,4,4,2.8,-24,1.31034
"147",1,4,4,5.6,-17,1.82759
"149",1,2,4,3.66667,-3,2.96552
"150",1,5,4,1.86667,-24,2.27586
"151",1.66667,1,2,4.93333,-21,2.86207
"152",1,3,4,6.6,-19,3.75862
"153",1,4,4,-0.6,-17,2
"154",1,3,4,5.53333,-15,2.2069
"155",1,2,3,3.2,-6,2.34483
"156",1,4,3,3.73333,-25,3
"157",1,3,4,2.53333,-13,1.86207
"158",1,3,3,5,-27,1.75862
"159",1,5,4,-2.73333,-32,1.62069
"160",1,3,4,6,-26,2.41379
"161",1,4,3,1.4,1,2.24138
"162",1,3,4,4.66667,-37,1.27586
"163",1.16667,5,4,5.93333,-30,2.7931
"164",1,1,1,5,-27,2.31034
"165",1,1,2,5.26667,-45,2.13793
"167",1,2,4,4.73333,-25,1.55172
"168",1,3,4,3.46667,-25,2.51724
"169",1,3,4,5.6,-26,3.10345
"170",1,3,4,2.73333,-8,2.93103
"171",1.16667,4,3,3.26667,-10,1.68966
"172",1,4,3,2.66667,-42,1.75862
"173",1.16667,4,3,0.06667,-22,2.68966
"174",1,5,4,5.66667,-22,1.96552
"175",1.16667,2,2,-1.46667,-21,2.58621
"176",1,1,4,2.53333,-33,2.27586
"177",1,3,3,7,-33,1.44828
"178",1.16667,3,4,4.93333,-34,1.82759
"179",1.66667,3,4,6.8,-41,2.72414
"180",1.16667,5,4,2.53333,-30,2.03448
"181",2,4,4,3.53333,-16,2.37931
"182",1,1,1,4.46667,-34,1.51724
"183",1,4,4,5.93333,-34,2.34483
"184",4.66667,1,1,-0.4,-6,2.96552
"185",1.33333,3,3,3.8,-19,2.31034
"186",1.33333,4,4,6.46667,-31,1.89655
"187",1,5,4,5.66667,-30,2.17241
"188",1,4,4,4,-37,1.75862
"189",1,5,4,3,-22,1.72414
"190",1,3,3,3.86667,-31,1.34483
"191",1,2,3,3.8,-10,1.68966
"192",1,1,2,3.26667,6,2.55172
"193",2.33333,1,1,3.46667,2,3.75862
"194",1,5,4,2.26667,-32,1.58621
"195",1.16667,3,4,4.86667,-16,2.10345
"196",1,2,3,3.6,-24,2.17241
"197",1,1,2,5.33333,-4,2.10345
"198",1.16667,4,4,3.33333,-18,2.93103
"199",1,2,4,6.6,-27,1.82759
"200",2.83333,1,2,-0.66667,-5,3.17241
"201",3.33333,5,4,3.93333,-27,3.7931
"202",1,3,3,3.66667,-7,2.2069
"203",1,5,4,4.66667,-33,1.72414
"204",1,3,4,2.66667,-30,1.75862
"205",1,5,4,3.46667,-24,1.2069
"206",1,3,4,4.66667,-30,2.44828
